Currency,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin,11-Feb-18,8616.13,8616.13,7931.10,8129.97,6122190000,145245000000
bitcoin,10-Feb-18,8720.08,9122.55,8295.47,8621.90,7780960000,146981000000
bitcoin,9-Feb-18,8271.84,8736.98,7884.71,8736.98,6784820000,139412000000
bitcoin,8-Feb-18,7637.86,8558.77,7637.86,8265.59,9346750000,128714000000
bitcoin,7-Feb-18,7755.49,8509.11,7236.79,7621.30,9169280000,130683000000
bitcoin,6-Feb-18,7051.75,7850.70,6048.26,7754.00,13999800000,118810000000
bitcoin,5-Feb-18,8270.54,8364.84,6756.68,6955.27,9285290000,139325000000
bitcoin,4-Feb-18,9175.70,9334.87,8031.22,8277.01,7073550000,154553000000
bitcoin,3-Feb-18,8852.12,9430.75,8251.63,9174.91,7263790000,149085000000
bitcoin,2-Feb-18,9142.28,9142.28,7796.49,8830.75,12726900000,153953000000
bitcoin,1-Feb-18,10237.30,10288.80,8812.28,9170.54,9959400000,172372000000
bitcoin,31-Jan-18,10108.20,10381.60,9777.42,10221.10,8041160000,170183000000
bitcoin,30-Jan-18,11306.80,11307.20,10036.20,10106.30,8637860000,190339000000
bitcoin,29-Jan-18,11755.50,11875.60,11179.20,11296.40,7107360000,197871000000
bitcoin,28-Jan-18,11475.30,12040.30,11475.30,11786.30,8350360000,193133000000
bitcoin,27-Jan-18,11174.90,11614.90,10989.20,11440.70,7583270000,188054000000
bitcoin,26-Jan-18,11256.00,11656.70,10470.30,11171.40,9746200000,189398000000
bitcoin,25-Jan-18,11421.70,11785.70,11057.40,11259.40,8873170000,192163000000
bitcoin,24-Jan-18,10903.40,11501.40,10639.80,11359.40,9940990000,183419000000
bitcoin,23-Jan-18,10944.50,11377.60,10129.70,10868.40,9660610000,184087000000
bitcoin,22-Jan-18,11633.10,11966.40,10240.20,10931.40,10537400000,195645000000
bitcoin,21-Jan-18,12889.20,12895.90,11288.20,11600.10,9935180000,216740000000
bitcoin,20-Jan-18,11656.20,13103.00,11656.20,12899.20,11801700000,195979000000
bitcoin,19-Jan-18,11429.80,11992.80,11172.10,11607.40,10740400000,192150000000
bitcoin,18-Jan-18,11198.80,12107.30,10942.50,11474.90,15020400000,188242000000
bitcoin,17-Jan-18,11431.10,11678.00,9402.29,11188.60,18830600000,192123000000
bitcoin,16-Jan-18,13836.10,13843.10,10194.90,11490.50,18853800000,232517000000
bitcoin,15-Jan-18,13767.30,14445.50,13641.70,13819.80,12750800000,231334000000
bitcoin,14-Jan-18,14370.80,14511.80,13268.00,13772.00,11084100000,241447000000
bitcoin,13-Jan-18,13952.40,14659.50,13952.40,14360.20,12763600000,234391000000
bitcoin,12-Jan-18,13453.90,14229.90,13158.10,13980.60,12065700000,225986000000
bitcoin,11-Jan-18,14968.20,15018.80,13105.90,13405.80,16534100000,251387000000
bitcoin,10-Jan-18,14588.50,14973.30,13691.20,14973.30,18500800000,244981000000
bitcoin,9-Jan-18,15123.70,15497.50,14424.00,14595.40,16660000000,253935000000
bitcoin,8-Jan-18,16476.20,16537.90,14208.20,15170.10,18413900000,276612000000
bitcoin,7-Jan-18,17527.30,17579.60,16087.70,16477.60,15866000000,294222000000
bitcoin,6-Jan-18,17462.10,17712.40,16764.60,17527.00,18314600000,293091000000
bitcoin,5-Jan-18,15477.20,17705.20,15202.80,17429.50,23840900000,259748000000
bitcoin,4-Jan-18,15270.70,15739.70,14522.20,15599.20,21783200000,256250000000
bitcoin,3-Jan-18,14978.20,15572.80,14844.50,15201.00,16871900000,251312000000
bitcoin,2-Jan-18,13625.00,15444.60,13163.60,14982.10,16846600000,228579000000
bitcoin,1-Jan-18,14112.20,14112.20,13154.70,13657.20,10291200000,236725000000
bitcoin,31-Dec-17,12897.70,14377.40,12755.60,14156.40,12136300000,216326000000
bitcoin,30-Dec-17,14681.90,14681.90,12350.10,12952.20,14452600000,246224000000
bitcoin,29-Dec-17,14695.80,15279.00,14307.00,14656.20,13025500000,246428000000
bitcoin,28-Dec-17,15864.10,15888.40,13937.30,14606.50,12336500000,265988000000
bitcoin,27-Dec-17,16163.50,16930.90,15114.30,15838.50,12487600000,270976000000
bitcoin,26-Dec-17,14036.60,16461.20,14028.90,16099.80,13454300000,235294000000
bitcoin,25-Dec-17,13995.90,14593.00,13448.90,14026.60,10664700000,234590000000
bitcoin,24-Dec-17,14608.20,14626.00,12747.70,13925.80,11572300000,244824000000
bitcoin,23-Dec-17,13948.70,15603.20,13828.80,14699.20,13086000000,233748000000
bitcoin,22-Dec-17,15898.00,15943.40,11833.00,13831.80,22198000000,266381000000
bitcoin,21-Dec-17,16642.40,17567.70,15342.70,15802.90,16516600000,278827000000
bitcoin,20-Dec-17,17760.30,17934.70,16077.70,16624.60,22149700000,297526000000
bitcoin,19-Dec-17,19118.30,19177.80,17275.40,17776.70,16894500000,320242000000
bitcoin,18-Dec-17,19106.40,19371.00,18355.90,19114.20,14839500000,320000000000
bitcoin,17-Dec-17,19475.80,20089.00,18974.10,19140.80,13314600000,326141000000
bitcoin,16-Dec-17,17760.30,19716.70,17515.30,19497.40,12740600000,297376000000
bitcoin,15-Dec-17,16601.30,18154.10,16601.30,17706.90,14310000000,277936000000
bitcoin,14-Dec-17,16384.60,17085.80,16185.90,16564.00,13777400000,274269000000
bitcoin,13-Dec-17,17500.00,17653.10,16039.70,16408.20,12976900000,292900000000
bitcoin,12-Dec-17,16919.80,17781.80,16571.60,17415.40,14603800000,283155000000
bitcoin,11-Dec-17,15427.40,17513.90,15404.80,16936.80,12153900000,258147000000
bitcoin,10-Dec-17,15168.40,15850.60,13226.60,15455.40,13433300000,253782000000
bitcoin,9-Dec-17,16523.30,16783.00,13674.90,15178.20,13911300000,276415000000
bitcoin,8-Dec-17,17802.90,18353.40,14336.90,16569.40,21136000000,297787000000
bitcoin,7-Dec-17,14266.10,17899.70,14057.30,17899.70,17950700000,238600000000
bitcoin,6-Dec-17,11923.40,14369.10,11923.40,14291.50,12656300000,199390000000
bitcoin,5-Dec-17,11685.70,12032.00,11604.60,11916.70,6895260000,195389000000
bitcoin,4-Dec-17,11315.40,11657.20,11081.80,11657.20,6132410000,189172000000
bitcoin,3-Dec-17,11082.70,11858.70,10862.00,11323.20,6608310000,185258000000
bitcoin,2-Dec-17,10978.30,11320.20,10905.10,11074.60,5138500000,183490000000
bitcoin,1-Dec-17,10198.60,11046.70,9694.65,10975.60,6783120000,170436000000
bitcoin,30-Nov-17,9906.79,10801.00,9202.05,10233.60,8310690000,165537000000
bitcoin,29-Nov-17,10077.40,11517.40,9601.03,9888.61,11568800000,168367000000
bitcoin,28-Nov-17,9823.43,10125.70,9736.30,10058.80,6348820000,164104000000
bitcoin,27-Nov-17,9352.72,9818.35,9352.72,9818.35,5653320000,156221000000
bitcoin,26-Nov-17,8789.04,9522.93,8775.59,9330.55,5475580000,146789000000
bitcoin,25-Nov-17,8241.71,8790.92,8191.15,8790.92,4342060000,137632000000
bitcoin,24-Nov-17,8074.02,8374.16,7940.93,8253.69,5058610000,134816000000
bitcoin,23-Nov-17,8232.38,8267.40,8038.77,8038.77,4225180000,137444000000
bitcoin,22-Nov-17,8077.95,8302.26,8075.47,8253.55,3633530000,134851000000
bitcoin,21-Nov-17,8205.74,8348.66,7762.71,8071.26,4277610000,136967000000
bitcoin,20-Nov-17,8039.07,8336.86,7949.36,8200.64,3488450000,134167000000
bitcoin,19-Nov-17,7766.03,8101.91,7694.10,8036.49,3149320000,129595000000
bitcoin,18-Nov-17,7697.21,7884.99,7463.44,7790.15,3667190000,128425000000
bitcoin,17-Nov-17,7853.57,8004.59,7561.09,7708.99,4651670000,131026000000
bitcoin,16-Nov-17,7323.24,7967.38,7176.58,7871.69,5123810000,122164000000
bitcoin,15-Nov-17,6634.76,7342.25,6634.76,7315.54,4200880000,110667000000
bitcoin,14-Nov-17,6561.48,6764.98,6461.75,6635.75,3197110000,109434000000
bitcoin,13-Nov-17,5938.25,6811.19,5844.29,6559.49,6263250000,99029000000
bitcoin,12-Nov-17,6295.45,6625.05,5519.01,5950.07,8957350000,104980000000
bitcoin,11-Nov-17,6618.61,6873.15,6204.22,6357.60,4908680000,110362000000
bitcoin,10-Nov-17,7173.73,7312.00,6436.87,6618.14,5208250000,119607000000
bitcoin,9-Nov-17,7446.83,7446.83,7101.52,7143.58,3226250000,124146000000
bitcoin,8-Nov-17,7141.38,7776.42,7114.02,7459.69,4602200000,119041000000
bitcoin,7-Nov-17,7023.10,7253.32,7023.10,7144.38,2326340000,117056000000
bitcoin,6-Nov-17,7403.22,7445.77,7007.31,7022.76,3111900000,123379000000
bitcoin,5-Nov-17,7404.52,7617.48,7333.19,7407.41,2380410000,123388000000
bitcoin,4-Nov-17,7164.48,7492.86,7031.28,7379.95,2483800000,119376000000
bitcoin,3-Nov-17,7087.53,7461.29,7002.94,7207.76,3369860000,118084000000
bitcoin,2-Nov-17,6777.77,7367.33,6758.72,7078.50,4653770000,112910000000
bitcoin,1-Nov-17,6440.97,6767.31,6377.88,6767.31,2870320000,107287000000
bitcoin,31-Oct-17,6132.02,6470.43,6103.33,6468.40,2311380000,102130000000
bitcoin,30-Oct-17,6114.85,6214.99,6040.85,6130.53,1772150000,101833000000
bitcoin,29-Oct-17,5754.44,6255.71,5724.58,6153.85,2859040000,95819800000
bitcoin,28-Oct-17,5787.82,5876.72,5689.19,5753.09,1403920000,96369600000
bitcoin,27-Oct-17,5899.74,5988.39,5728.82,5780.90,1710130000,98225400000
bitcoin,26-Oct-17,5747.95,5976.80,5721.22,5904.83,1905040000,95685100000
bitcoin,25-Oct-17,5524.60,5754.33,5397.88,5750.80,1966990000,91954200000
bitcoin,24-Oct-17,5935.52,5935.52,5504.18,5526.64,2735700000,98781600000
bitcoin,23-Oct-17,6006.00,6075.59,5732.47,5930.32,2401840000,99941600000
bitcoin,22-Oct-17,6036.66,6076.26,5792.34,6008.42,2034630000,100438000000
bitcoin,21-Oct-17,5996.79,6194.88,5965.07,6031.60,2207100000,99763200000
bitcoin,20-Oct-17,5708.11,6060.11,5627.23,6011.45,2354430000,94947900000
bitcoin,19-Oct-17,5583.74,5744.35,5531.06,5708.52,1780540000,92867000000
bitcoin,18-Oct-17,5603.82,5603.82,5151.44,5590.69,2399270000,93190200000
bitcoin,17-Oct-17,5741.58,5800.35,5472.72,5605.51,1821570000,95469300000
bitcoin,16-Oct-17,5687.57,5776.23,5544.21,5725.59,2008070000,94559000000
bitcoin,15-Oct-17,5835.96,5852.48,5478.61,5678.19,1976040000,97011900000
bitcoin,14-Oct-17,5643.53,5837.70,5591.64,5831.79,1669030000,93803000000
bitcoin,13-Oct-17,5464.16,5840.30,5436.85,5647.21,3615480000,90812400000
bitcoin,12-Oct-17,4829.58,5446.91,4822.00,5446.91,2791610000,80256700000
bitcoin,11-Oct-17,4789.25,4873.73,4751.63,4826.48,1222280000,79578200000
bitcoin,10-Oct-17,4776.21,4922.17,4765.10,4781.99,1597140000,79351800000
bitcoin,9-Oct-17,4614.52,4878.71,4564.25,4772.02,1968740000,76656500000
bitcoin,8-Oct-17,4429.67,4624.14,4405.64,4610.48,1313870000,73575400000
bitcoin,7-Oct-17,4369.35,4443.88,4321.05,4426.89,906928000,72565100000
bitcoin,6-Oct-17,4324.46,4413.27,4320.53,4370.81,1069940000,71810600000
bitcoin,5-Oct-17,4229.88,4362.64,4164.05,4328.41,1161770000,70233700000
bitcoin,4-Oct-17,4319.37,4352.31,4210.42,4229.36,1116770000,71712500000
bitcoin,3-Oct-17,4408.46,4432.47,4258.89,4317.48,1288020000,73181300000
bitcoin,2-Oct-17,4395.81,4470.23,4377.46,4409.32,1431730000,72963200000
bitcoin,1-Oct-17,4341.05,4403.74,4269.81,4403.74,1208210000,72047300000
bitcoin,30-Sep-17,4166.11,4358.43,4160.86,4338.71,1207450000,69136600000
bitcoin,29-Sep-17,4171.62,4214.63,4039.29,4163.07,1367050000,69219200000
bitcoin,28-Sep-17,4197.13,4279.31,4109.70,4174.73,1712320000,69633200000
bitcoin,27-Sep-17,3892.94,4210.05,3884.82,4200.67,1686880000,64579200000
bitcoin,26-Sep-17,3928.41,3969.89,3869.90,3892.35,1043740000,65161000000
bitcoin,25-Sep-17,3681.58,3950.25,3681.58,3926.07,1374210000,61061100000
bitcoin,24-Sep-17,3796.15,3796.15,3666.90,3682.84,768015000,62954300000
bitcoin,23-Sep-17,3629.92,3819.21,3594.58,3792.40,928114000,60190000000
bitcoin,22-Sep-17,3628.02,3758.27,3553.53,3630.70,1194830000,60152300000
bitcoin,21-Sep-17,3901.47,3916.42,3613.63,3631.04,1411480000,64677600000
bitcoin,20-Sep-17,3916.36,4031.39,3857.73,3905.95,1213830000,64918500000
bitcoin,19-Sep-17,4073.79,4094.07,3868.87,3924.97,1563980000,67520300000
bitcoin,18-Sep-17,3591.09,4079.23,3591.09,4065.20,1943210000,59514100000
bitcoin,17-Sep-17,3606.28,3664.81,3445.64,3582.88,1239150000,59757800000
bitcoin,16-Sep-17,3637.75,3808.84,3487.79,3625.04,1818400000,60271600000
bitcoin,15-Sep-17,3166.30,3733.45,2946.62,3637.52,4148070000,52453500000
bitcoin,14-Sep-17,3875.37,3920.60,3153.86,3154.95,2716310000,64191600000
bitcoin,13-Sep-17,4131.98,4131.98,3789.92,3882.59,2219410000,68432200000
bitcoin,12-Sep-17,4168.88,4344.65,4085.22,4130.81,1864530000,69033400000
bitcoin,11-Sep-17,4122.47,4261.67,4099.40,4161.27,1557330000,68256000000
bitcoin,10-Sep-17,4229.34,4245.44,3951.04,4122.94,1679090000,70018100000
bitcoin,9-Sep-17,4229.81,4308.82,4114.11,4226.06,1386230000,70017200000
bitcoin,8-Sep-17,4605.16,4661.00,4075.18,4228.75,2700890000,76220200000
bitcoin,7-Sep-17,4589.14,4655.04,4491.33,4599.88,1844620000,75945000000
bitcoin,6-Sep-17,4376.59,4617.25,4376.59,4597.12,2172100000,72418700000
bitcoin,5-Sep-17,4228.29,4427.84,3998.11,4376.53,2697970000,69954400000
bitcoin,4-Sep-17,4591.63,4591.63,4108.40,4236.31,2987330000,75955500000
bitcoin,3-Sep-17,4585.27,4714.08,4417.59,4582.96,1933190000,75841700000
bitcoin,2-Sep-17,4901.42,4975.04,4469.24,4578.77,2722140000,81060600000
bitcoin,1-Sep-17,4701.76,4892.01,4678.53,4892.01,2599080000,77748400000
