Date,BTC,ETH
02/11/18,8129.97,814.66
02/10/18,8621.9,860.41
02/09/18,8736.98,883.87
02/08/18,8265.59,817.81
02/07/18,7621.3,757.07
02/06/18,7754,793.12
02/05/18,6955.27,697.95
02/04/18,8277.01,834.68
02/03/18,9174.91,964.02
02/02/18,8830.75,915.78
02/01/18,9170.54,1036.79
01/31/18,10221.1,1118.31
01/30/18,10106.3,1071.13
01/29/18,11296.4,1182.36
01/28/18,11786.3,1246.01
01/27/18,11440.7,1107.07
01/26/18,11171.4,1055.17
01/25/18,11259.4,1056.03
01/24/18,11359.4,1058.78
01/23/18,10868.4,986.23
01/22/18,10931.4,1003.26
01/21/18,11600.1,1049.58
01/20/18,12899.2,1155.15
01/19/18,11607.4,1039.1
01/18/18,11474.9,1036.28
01/17/18,11188.6,1014.25
01/16/18,11490.5,1053.69
01/15/18,13819.8,1291.92
01/14/18,13772,1366.77
01/13/18,14360.2,1396.42
01/12/18,13980.6,1273.2
01/11/18,13405.8,1154.93
01/10/18,14973.3,1255.82
01/09/18,14595.4,1299.74
01/08/18,15170.1,1148.53
01/07/18,16477.6,1153.17
01/06/18,17527,1041.68
01/05/18,17429.5,997.72
01/04/18,15599.2,980.92
01/03/18,15201,962.72
01/02/18,14982.1,884.44
01/01/18,13657.2,772.64
12/31/17,14156.4,756.73
12/30/17,12952.2,717.26
12/29/17,14656.2,753.59
12/28/17,14606.5,737.02
12/27/17,15838.5,762.84
12/26/17,16099.8,773.84
12/25/17,14026.6,765.83
12/24/17,13925.8,694.15
12/23/17,14699.2,719.39
12/22/17,13831.8,674.86
12/21/17,15802.9,821.06
12/20/17,16624.6,819.09
12/19/17,17776.7,826.82
12/18/17,19114.2,794.64
12/17/17,19140.8,719.98
12/16/17,19497.4,696.21
12/15/17,17706.9,684.45
12/14/17,16564,695.82
12/13/17,16408.2,702.77
12/12/17,17415.4,651.43
12/11/17,16936.8,515.14
12/10/17,15455.4,441.72
12/09/17,15178.2,473.5
12/08/17,16569.4,456.03
12/07/17,17899.7,434.41
12/06/17,14291.5,428.59
12/05/17,11916.7,463.28
12/04/17,11657.2,470.2
12/03/17,11323.2,465.85
12/02/17,11074.6,463.45
12/01/17,10975.6,466.54
11/30/17,10233.6,447.11
11/29/17,9888.61,427.52
11/28/17,10058.8,472.9
11/27/17,9818.35,480.36
11/26/17,9330.55,471.33
11/25/17,8790.92,466.28
11/24/17,8253.69,474.91
11/23/17,8038.77,410.17
11/22/17,8253.55,380.65
11/21/17,8071.26,360.4
11/20/17,8200.64,366.73
11/19/17,8036.49,354.39
11/18/17,7790.15,347.61
11/17/17,7708.99,332.39
11/16/17,7871.69,330.92
11/15/17,7315.54,333.36
11/14/17,6635.75,337.63
11/13/17,6559.49,316.72
11/12/17,5950.07,307.91
11/11/17,6357.6,314.68
11/10/17,6618.14,299.25
11/09/17,7143.58,320.88
11/08/17,7459.69,309.07
11/07/17,7144.38,294.66
11/06/17,7022.76,298.89
11/05/17,7407.41,296.26
11/04/17,7379.95,300.47
11/03/17,7207.76,305.71
11/02/17,7078.5,287.43
11/01/17,6767.31,291.69
10/31/17,6468.4,305.88
10/30/17,6130.53,307.75
10/29/17,6153.85,305.09
10/28/17,5753.09,296.3
10/27/17,5780.9,297.42
10/26/17,5904.83,296.53
10/25/17,5750.8,297.93
10/24/17,5526.64,298.33
10/23/17,5930.32,286.95
10/22/17,6008.42,295.45
10/21/17,6031.6,300.19
10/20/17,6011.45,304.01
10/19/17,5708.52,308.09
10/18/17,5590.69,314.32
10/17/17,5605.51,317.08
10/16/17,5725.59,333.38
10/15/17,5678.19,336.6
10/14/17,5831.79,339.63
10/13/17,5647.21,338.76
10/12/17,5446.91,304.14
10/11/17,4826.48,303.46
10/10/17,4781.99,299.87
10/09/17,4772.02,297.39
10/08/17,4610.48,308.61
10/07/17,4426.89,311.12
10/06/17,4370.81,308.59
10/05/17,4328.41,295.86
10/04/17,4229.36,292.66
10/03/17,4317.48,292.46
10/02/17,4409.32,297.48
10/01/17,4403.74,302.34
09/30/17,4338.71,301.46
09/29/17,4163.07,291.47
09/28/17,4174.73,299.15
09/27/17,4200.67,306.47
09/26/17,3892.35,287.44
09/25/17,3926.07,292.33
09/24/17,3682.84,282.48
09/23/17,3792.4,286.17
09/22/17,3630.7,264.31
09/21/17,3631.04,258.58
09/20/17,3905.95,283.74
09/19/17,3924.97,282.8
09/18/17,4065.2,293.5
09/17/17,3582.88,251.75
09/16/17,3625.04,246.52
09/15/17,3637.52,250.46
09/14/17,3154.95,213.91
09/13/17,3882.59,277.11
09/12/17,4130.81,291.46
09/11/17,4161.27,294.53
09/10/17,4122.94,288.75
09/09/17,4226.06,294.4
09/08/17,4228.75,296.5
09/07/17,4599.88,329.43
09/06/17,4597.12,334.34
09/05/17,4376.53,312.99
09/04/17,4236.31,295.17
09/03/17,4582.96,347.48
09/02/17,4578.77,348.98
09/01/17,4892.01,387.74
