Currency,Date,Open,High,Low,Close,Volume,Market Cap
ethereum,02/11/18,859.29,859.29,788.22,814.66,2486650000,83813000000
ethereum,02/10/18,882.47,917.4,825.58,860.41,2930530000,86055600000
ethereum,02/09/18,818.48,884,788.83,883.87,2495820000,79799300000
ethereum,02/08/18,755.84,845.09,755.84,817.81,3708190000,73676900000
ethereum,02/07/18,790.43,851.2,723.43,757.07,3896180000,77032000000
ethereum,02/06/18,707.74,796.44,574.42,793.12,6518270000,68958700000
ethereum,02/05/18,834.96,856.65,644.6,697.95,4269530000,81337400000
ethereum,02/04/18,964.67,969.03,805.06,834.68,2997090000,93953400000
ethereum,02/03/18,919.21,991.94,847.69,964.02,3243480000,89507600000
ethereum,02/02/18,1035.77,1035.77,757.98,915.78,6713290000,1.00836E+11
ethereum,02/01/18,1119.37,1161.35,984.82,1036.79,5261680000,1.08952E+11
ethereum,01/31/18,1071.09,1128.66,1034.5,1118.31,3757560000,1.04231E+11
ethereum,01/30/18,1184.13,1184.63,1058.97,1071.13,4107860000,1.15207E+11
ethereum,01/29/18,1246.7,1256.7,1169.08,1182.36,3715080000,1.21269E+11
ethereum,01/28/18,1111.78,1257.77,1111.78,1246.01,5372330000,1.08122E+11
ethereum,01/27/18,1055.75,1121.98,1042.12,1107.07,3002870000,1.02651E+11
ethereum,01/26/18,1052.7,1080.6,996.78,1055.17,3617690000,1.02334E+11
ethereum,01/25/18,1063.22,1104.66,1034.74,1056.03,4050190000,1.03335E+11
ethereum,01/24/18,987.48,1062.44,965.81,1058.78,3944040000,95952700000
ethereum,01/23/18,1004.17,1023.23,920.54,986.23,3556700000,97554300000
ethereum,01/22/18,1055.35,1089.1,930.74,1003.26,3810100000,1.02504E+11
ethereum,01/21/18,1155.68,1155.68,1021.5,1049.58,3378090000,1.12226E+11
ethereum,01/20/18,1044.95,1167.11,1044.95,1155.15,3975190000,1.01451E+11
ethereum,01/19/18,1028.82,1093.22,1003.71,1039.1,4084450000,99863900000
ethereum,01/18/18,1016.44,1100.31,967.76,1036.28,5938320000,98642100000
ethereum,01/17/18,1061.34,1090.23,780.92,1014.25,8545160000,1.02974E+11
ethereum,01/16/18,1292.63,1292.63,875.54,1053.69,8405140000,1.25389E+11
